ticker,date,open,high,low,close,volume,updated_at,source,stale,currency
MDT,2026-09-11,93.0000,93.0000,90.2600,90.9600,5408612,2026-09-12T07:58:57.173969+00:00,alphavantage,false,USD
MP,2026-09-11,51.1000,51.7400,50.3300,50.5100,4878121,2026-09-12T07:58:57.173969+00:00,alphavantage,false,USD
MRK,2026-09-11,145.5200,145.9000,143.6800,143.9300,8679443,2026-09-12T07:58:57.173969+00:00,alphavantage,false,USD
MRVL,2026-09-11,234.6300,240.2000,229.2800,236.1000,17310207,2026-09-12T07:58:57.173969+00:00,alphavantage,false,USD
MSFT,2026-09-11,495.6500,498.9700,492.5800,495.6300,14518435,2026-09-12T07:58:57.173969+00:00,alphavantage,false,USD
MUFG,2026-09-11,23.9000,23.9750,23.7350,23.8900,3410359,2026-09-12T07:58:57.173969+00:00,alphavantage,false,USD
NEE,2026-09-09,83.9900,84.2500,82.6200,82.6500,8837147,2026-09-09T23:27:44.683573+00:00,alphavantage,false,
NRIX,2026-09-09,26.4600,26.6950,25.9100,26.2600,1013020,2026-09-09T23:27:44.683573+00:00,alphavantage,false,
NTRA,2026-09-09,324.1400,331.8800,321.1900,330.3100,707179,2026-09-09T23:27:44.683573+00:00,alphavantage,false,
NTSK,2026-09-09,14.4700,14.7050,14.0800,14.4600,3718721,2026-09-09T23:27:44.683573+00:00,alphavantage,false,
NVTS,2026-09-09,11.9450,12.1694,11.5100,11.6000,8087819,2026-09-09T23:27:44.683573+00:00,alphavantage,false,
OII,2026-09-09,50.7900,51.4700,48.4500,48.4900,961232,2026-09-09T23:27:44.683573+00:00,alphavantage,false,
OKLO,2026-09-09,42.8500,44.2600,42.5000,42.5700,7481208,2026-09-09T23:27:44.683573+00:00,alphavantage,false,
ON,2026-09-09,70.8300,72.4500,70.5399,70.9800,6462991,2026-09-09T23:27:44.683573+00:00,alphavantage,false,
ORCL,2026-09-09,163.5400,165.1500,160.3600,161.6300,26415942,2026-09-09T23:27:44.683573+00:00,alphavantage,false,
PANW,2026-09-10,331.1450,344.7917,330.3000,338.4900,4372370,2026-09-10T23:20:56.948025+00:00,alphavantage,false,
PATH,2026-09-10,13.5300,14.0900,13.2500,13.8700,64260943,2026-09-10T23:20:56.948025+00:00,alphavantage,false,
PFE,2026-09-10,27.6900,27.7500,27.4000,27.6500,27594837,2026-09-10T23:20:56.948025+00:00,alphavantage,false,
PLTR,2026-09-10,167.3500,168.9999,164.5500,165.8600,20752959,2026-09-10T23:20:56.948025+00:00,alphavantage,false,
PLUG,2026-09-10,2.1400,2.1650,2.0900,2.1100,49050025,2026-09-10T23:20:56.948025+00:00,alphavantage,false,
PSNL,2026-09-10,16.0700,16.4900,16.0000,16.3300,2296519,2026-09-10T23:20:56.948025+00:00,alphavantage,false,
PTC,2026-09-10,127.7200,130.8900,126.7900,128.7150,1670034,2026-09-10T23:20:56.948025+00:00,alphavantage,false,
QBTS,2026-09-10,16.7250,17.1000,16.6000,16.6600,12772260,2026-09-10T23:20:56.948025+00:00,alphavantage,false,
QCOM,2026-09-10,172.1300,182.4000,171.0000,176.8800,15446561,2026-09-10T23:20:56.948025+00:00,alphavantage,false,
QS,2026-09-10,5.0900,5.2900,5.0600,5.1800,6481300,2026-09-10T23:20:56.948025+00:00,alphavantage,false,
RGTI,2026-09-10,14.8900,15.4300,14.8400,15.1600,14662809,2026-09-10T23:20:56.948025+00:00,alphavantage,false,
RKLB,2026-09-10,61.6500,64.9000,61.5300,61.9600,18762786,2026-09-10T23:20:56.948025+00:00,alphavantage,false,
RMBS,2026-09-10,84.8700,86.8100,84.1470,85.3500,1647036,2026-09-10T23:20:56.948025+00:00,alphavantage,false,
RVMD,2026-09-10,205.8500,207.8400,202.5901,203.3500,808865,2026-09-10T23:20:56.948025+00:00,alphavantage,false,
SOFI,2026-09-10,17.0300,17.3900,16.9300,17.2100,30657799,2026-09-10T23:20:56.948025+00:00,alphavantage,false,
SPCX,2026-09-10,145.0000,154.7000,144.8900,148.1800,118141752,2026-09-10T23:20:56.948025+00:00,alphavantage,false,
TEM,2026-09-10,59.8700,61.1100,58.0200,58.7400,5457662,2026-09-10T23:20:56.948025+00:00,alphavantage,false,
TENB,2026-09-10,32.4100,33.9400,31.7200,32.0300,4894079,2026-09-10T23:20:56.948025+00:00,alphavantage,false,
TSLA,2026-09-10,360.5950,369.2100,357.6800,363.5600,29506333,2026-09-10T23:20:56.948025+00:00,alphavantage,false,
TWST,2026-09-10,121.6600,129.2750,120.1900,126.8500,1284818,2026-09-10T23:20:56.948025+00:00,alphavantage,false,
VRT,2026-09-11,252.5000,258.7799,251.8400,257.0600,4755089,2026-09-11T23:29:30.082733+00:00,alphavantage,false,
XOM,2026-09-11,165.0700,167.0900,164.0800,165.9900,11258609,2026-09-11T23:29:30.082733+00:00,alphavantage,false,
